filename,x,y,scale
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,208,1652,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,900,1416,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1048,1108,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1220,1536,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,572,664,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1020,568,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1256,772,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1792,632,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1812,892,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1692,1296,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,924,1172,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,240,1832,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1188,1004,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1264,1484,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,552,1680,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,900,1416,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1048,532,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1744,1268,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,968,1384,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1804,860,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1852,340,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1116,660,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,672,1068,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1596,1184,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,884,1280,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,268,1612,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,240,1364,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,1516,412,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,360,896,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,172,848,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1484,556,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,432,420,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1872,1792,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,476,988,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1140,1748,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1236,1420,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1644,1488,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,784,992,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1008,996,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1272,476,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1232,944,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1888,1344,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1104,1624,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,208,1060,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1012,476,200
2022-1-10_Wild Type_Dark Adapted_1_12_29k.png,1228,688,200
2022-1-10_Wild Type_Dark Adapted_1_12_29k.png,252,532,200
2022-1-10_Wild Type_Dark Adapted_1_12_29k.png,780,1300,200
2022-1-10_Wild Type_Dark Adapted_2_37_19k.png,1048,644,200
2022-1-10_Wild Type_Dark Adapted_2_37_19k.png,1544,480,200
2022-1-10_Wild Type_Dark Adapted_2_80_19k.png,616,804,200
2022-1-10_Wild Type_Dark Adapted_3_02_19k.png,1656,1028,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,844,500,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,1384,596,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,1316,1388,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,704,1600,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,1908,600,200
2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,524,764,200
2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,1252,1556,200
2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,452,888,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,876,996,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,868,1088,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,984,1124,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1724,1264,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1852,840,200
