strip,filename,box_size,x,y
0,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1056,1104
1,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,480,812
2,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1844,824
3,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1692,1272
4,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,1680,1164
5,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,200,1524,400
6,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,200,1472,556
7,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,200,1232,1440
8,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,200,1224,572
9,./images/raw_images/2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,200,1348,980
10,./images/raw_images/2022-1-10_Wild Type_Dark Adapted_1_12_29k.png,200,764,1276
11,./images/raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,832,520
