Process,Strip,Mean Inner Membrane Width (nm),SD
0_otsuOffset,101,11.77,0.74
0_otsuOffset,106,10.91,0.6
0_otsuOffset,134,11.38,0.17
0_otsuOffset,135,11.37,1.14
0_otsuOffset,161,11.22,0.32
0_otsuOffset,176,11.79,0.37
0_otsuOffset,187,12.66,0.3
0_otsuOffset,229,10.83,0.44
0_otsuOffset,232,11.18,0.71
0_otsuOffset,Overall,11.46,0.53
1_otsuOffset,101,11.9,0.7
1_otsuOffset,106,11.07,0.54
1_otsuOffset,134,11.6,0.09
1_otsuOffset,135,11.42,1.17
1_otsuOffset,161,11.41,0.34
1_otsuOffset,176,11.9,0.35
1_otsuOffset,187,12.74,0.35
1_otsuOffset,229,11.01,0.34
1_otsuOffset,232,11.34,0.73
1_otsuOffset,Overall,11.6,0.51
2_otsuOffset,101,11.77,0.74
2_otsuOffset,106,10.91,0.6
2_otsuOffset,134,11.38,0.17
2_otsuOffset,135,11.37,1.14
2_otsuOffset,161,11.22,0.32
2_otsuOffset,176,11.79,0.37
2_otsuOffset,187,12.66,0.3
2_otsuOffset,229,10.83,0.44
2_otsuOffset,232,11.18,0.71
2_otsuOffset,Overall,11.46,0.53
3_otsuOffset,101,11.9,0.7
3_otsuOffset,106,11.07,0.54
3_otsuOffset,134,11.6,0.09
3_otsuOffset,135,11.42,1.17
3_otsuOffset,161,11.41,0.34
3_otsuOffset,176,11.9,0.35
3_otsuOffset,187,12.74,0.35
3_otsuOffset,229,11.01,0.34
3_otsuOffset,232,11.34,0.73
3_otsuOffset,Overall,11.6,0.51
4_otsuOffset,101,11.77,0.74
4_otsuOffset,106,10.91,0.6
4_otsuOffset,134,11.38,0.17
4_otsuOffset,135,11.37,1.14
4_otsuOffset,161,11.22,0.32
4_otsuOffset,176,11.79,0.37
4_otsuOffset,187,12.66,0.3
4_otsuOffset,229,10.83,0.44
4_otsuOffset,232,11.18,0.71
4_otsuOffset,Overall,11.46,0.53
5_otsuOffset,101,11.9,0.7
5_otsuOffset,106,11.07,0.54
5_otsuOffset,134,11.6,0.09
5_otsuOffset,135,11.42,1.17
5_otsuOffset,161,11.41,0.34
5_otsuOffset,176,11.9,0.35
5_otsuOffset,187,12.74,0.35
5_otsuOffset,229,11.01,0.34
5_otsuOffset,232,11.34,0.73
5_otsuOffset,Overall,11.6,0.51
