strip,grana_height,num_lumen,repeat_distance,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width,type,index,membrane_width
101,72.13333333333333,5,12.02,0.88,1.1363636363636365,500,440,5.00724637681159,lumen,0,
101,72.13333333333333,5,,0.88,1.1363636363636365,500,440,,membrane,0,4.800000000000001
101,72.13333333333333,5,14.08,0.88,1.1363636363636365,500,440,5.008384146341463,lumen,1,
101,72.13333333333333,5,,0.88,1.1363636363636365,500,440,,membrane,1,9.232336956521742
101,72.13333333333333,5,13.84,0.88,1.1363636363636365,500,440,5.060606060606055,lumen,2,
101,72.13333333333333,5,,0.88,1.1363636363636365,500,440,,membrane,2,8.918699186991873
101,72.13333333333333,5,15.3,0.88,1.1363636363636365,500,440,6.184139784946225,lumen,3,
101,72.13333333333333,5,,0.88,1.1363636363636365,500,440,,membrane,3,8.64772727272728
101,72.13333333333333,5,12.15,0.88,1.1363636363636365,500,440,5.018181818181816,lumen,4,
101,72.13333333333333,5,,0.88,1.1363636363636365,500,440,,membrane,4,9.5741935483871
101,72.13333333333333,5,,0.88,1.1363636363636365,500,440,,membrane,5,4.681818181818187
106,122.55187969924812,7,14.66,1.095,0.91324200913242,200,219,6.446428571428573,lumen,0,
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,0,6.1154761904761905
106,122.55187969924812,7,17.81,1.095,0.91324200913242,200,219,7.230158730158728,lumen,1,
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,1,10.30952380952381
106,122.55187969924812,7,18.2,1.095,0.91324200913242,200,219,6.8525345622119715,lumen,2,
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,2,10.845878136200724
106,122.55187969924812,7,17.0,1.095,0.91324200913242,200,219,6.089743589743591,lumen,3,
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,3,11.857142857142861
106,122.55187969924812,7,16.89,1.095,0.91324200913242,200,219,6.077272727272728,lumen,4,
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,4,10.907342657342653
106,122.55187969924812,7,17.03,1.095,0.91324200913242,200,219,6.446524064171129,lumen,5,
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,5,10.718181818181819
106,122.55187969924812,7,14.35,1.095,0.91324200913242,200,219,5.575187969924798,lumen,6,
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,6,10.445820433436538
106,122.55187969924812,7,,1.095,0.91324200913242,200,219,,membrane,7,7.109022556390983
134,69.8362480127186,4,14.92,1.095,0.91324200913242,200,219,6.554545454545455,lumen,0,
134,69.8362480127186,4,,1.095,0.91324200913242,200,219,,membrane,0,6.234643734643736
134,69.8362480127186,4,17.33,1.095,0.91324200913242,200,219,6.709090909090904,lumen,1,
134,69.8362480127186,4,,1.095,0.91324200913242,200,219,,membrane,1,10.490909090909092
134,69.8362480127186,4,16.63,1.095,0.91324200913242,200,219,6.080808080808076,lumen,2,
134,69.8362480127186,4,,1.095,0.91324200913242,200,219,,membrane,2,10.74545454545455
134,69.8362480127186,4,14.56,1.095,0.91324200913242,200,219,5.6880341880341945,lumen,3,
134,69.8362480127186,4,,1.095,0.91324200913242,200,219,,membrane,3,11.166666666666657
134,69.8362480127186,4,,1.095,0.91324200913242,200,219,,membrane,4,6.570135746606326
135,71.76190476190476,4,15.89,1.095,0.91324200913242,200,219,6.715686274509807,lumen,0,
135,71.76190476190476,4,,1.095,0.91324200913242,200,219,,membrane,0,7.522408963585434
135,71.76190476190476,4,18.32,1.095,0.91324200913242,200,219,6.800000000000004,lumen,1,
135,71.76190476190476,4,,1.095,0.91324200913242,200,219,,membrane,1,10.833333333333329
135,71.76190476190476,4,16.15,1.095,0.91324200913242,200,219,5.148148148148138,lumen,2,
135,71.76190476190476,4,,1.095,0.91324200913242,200,219,,membrane,2,12.200000000000003
135,71.76190476190476,4,14.31,1.095,0.91324200913242,200,219,6.070707070707073,lumen,3,
135,71.76190476190476,4,,1.095,0.91324200913242,200,219,,membrane,3,9.796296296296305
135,71.76190476190476,4,,1.095,0.91324200913242,200,219,,membrane,4,6.675324675324674
161,107.23313953488373,8,11.48,0.88,1.1363636363636365,500,440,4.9739470256187595,lumen,0,
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,0,4.196437407224149
161,107.23313953488373,8,14.26,0.88,1.1363636363636365,500,440,5.5075187969924855,lumen,1,
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,1,8.808807733619759
161,107.23313953488373,8,13.8,0.88,1.1363636363636365,500,440,4.916666666666664,lumen,2,
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,2,8.69642857142857
161,107.23313953488373,8,13.74,0.88,1.1363636363636365,500,440,4.8133208255159445,lumen,3,
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,3,9.068089430894311
161,107.23313953488373,8,13.21,0.88,1.1363636363636365,500,440,4.537878787878782,lumen,4,
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,4,8.789044289044298
161,107.23313953488373,8,12.11,0.88,1.1363636363636365,500,440,3.419207317073173,lumen,5,
