strip,grana_height,num_lumen,px_per_nm,nm_per_px,scale,scale_pixels,membrane_width,type,index
101,72.13333333333333,5,0.88,1.1363636363636365,500,440,4.800000000000001,membrane,0
101,72.13333333333333,5,0.88,1.1363636363636365,500,440,9.232336956521742,membrane,1
101,72.13333333333333,5,0.88,1.1363636363636365,500,440,8.918699186991873,membrane,2
101,72.13333333333333,5,0.88,1.1363636363636365,500,440,8.64772727272728,membrane,3
101,72.13333333333333,5,0.88,1.1363636363636365,500,440,9.5741935483871,membrane,4
101,72.13333333333333,5,0.88,1.1363636363636365,500,440,4.681818181818187,membrane,5
106,122.55187969924812,7,1.095,0.91324200913242,200,219,6.1154761904761905,membrane,0
106,122.55187969924812,7,1.095,0.91324200913242,200,219,10.30952380952381,membrane,1
106,122.55187969924812,7,1.095,0.91324200913242,200,219,10.845878136200724,membrane,2
106,122.55187969924812,7,1.095,0.91324200913242,200,219,11.857142857142861,membrane,3
106,122.55187969924812,7,1.095,0.91324200913242,200,219,10.907342657342653,membrane,4
106,122.55187969924812,7,1.095,0.91324200913242,200,219,10.718181818181819,membrane,5
106,122.55187969924812,7,1.095,0.91324200913242,200,219,10.445820433436538,membrane,6
106,122.55187969924812,7,1.095,0.91324200913242,200,219,7.109022556390983,membrane,7
134,69.8362480127186,4,1.095,0.91324200913242,200,219,6.234643734643736,membrane,0
134,69.8362480127186,4,1.095,0.91324200913242,200,219,10.490909090909092,membrane,1
134,69.8362480127186,4,1.095,0.91324200913242,200,219,10.74545454545455,membrane,2
134,69.8362480127186,4,1.095,0.91324200913242,200,219,11.166666666666657,membrane,3
134,69.8362480127186,4,1.095,0.91324200913242,200,219,6.570135746606326,membrane,4
135,71.76190476190476,4,1.095,0.91324200913242,200,219,7.522408963585434,membrane,0
135,71.76190476190476,4,1.095,0.91324200913242,200,219,10.833333333333329,membrane,1
135,71.76190476190476,4,1.095,0.91324200913242,200,219,12.200000000000003,membrane,2
135,71.76190476190476,4,1.095,0.91324200913242,200,219,9.796296296296305,membrane,3
135,71.76190476190476,4,1.095,0.91324200913242,200,219,6.675324675324674,membrane,4
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,4.196437407224149,membrane,0
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,8.808807733619759,membrane,1
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,8.69642857142857,membrane,2
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,9.068089430894311,membrane,3
