strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,-6.76,0.6875,3315.0,41,lumen,3_otsuOffset,0
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,6.76,4.756250000000001,2422.5,44,lumen,3_otsuOffset,1
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,5.09,1.0,1402.5,53,lumen,3_otsuOffset,2
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,-5.09,4.350000000000001,1147.5,55,lumen,3_otsuOffset,3
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,25.81,4.63214285714286,6757.5,64,lumen,3_otsuOffset,4
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,21.72,5.86666666666666,7650.0,86,lumen,3_otsuOffset,5
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,0.0,2.0,1275.0,95,lumen,3_otsuOffset,6
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,21.97,6.467741935483872,7650.0,107,lumen,3_otsuOffset,7
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,0.0,2.875,637.5,115,lumen,3_otsuOffset,8
0,output\processed_images\3_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.34814814814816,10,17.37,6.009792626728114,5992.5,128,lumen,3_otsuOffset,9
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,10.71,4.929487179487179,7650.0,20,lumen,3_otsuOffset,0
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,3.96,0.8999999999999986,2295.0,26,lumen,3_otsuOffset,1
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,4.72,2.8333333333333357,2805.0,30,lumen,3_otsuOffset,2
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,17.2,8.259552042160742,7650.0,40,lumen,3_otsuOffset,3
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,1.83,2.3428571428571487,5100.0,51,lumen,3_otsuOffset,4
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,3.25,1.4945054945054892,4335.0,54,lumen,3_otsuOffset,5
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,12.57,7.940476190476183,7650.0,61,lumen,3_otsuOffset,6
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,9.71,5.1875,9690.0,74,lumen,3_otsuOffset,7
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,9.21,18.6875,7650.0,84,lumen,3_otsuOffset,8
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,7.5,0.5714285714285694,10965.0,89,lumen,3_otsuOffset,9
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,1.76,1.0,2677.5,96,lumen,3_otsuOffset,10
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,2.05,0.529411764705884,6757.5,98,lumen,3_otsuOffset,11
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,16.19,8.294117647058826,7650.0,105,lumen,3_otsuOffset,12
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,5.89,0.7222222222222285,6885.0,120,lumen,3_otsuOffset,13
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,7.75,5.235714285714295,7650.0,124,lumen,3_otsuOffset,14
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,8.61,4.03787878787881,7267.5,132,lumen,3_otsuOffset,15
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,15.87,7.506387921022082,7650.0,144,lumen,3_otsuOffset,16
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,0.2,0.6500000000000057,2167.5,152,lumen,3_otsuOffset,17
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,5.95,1.0,7522.5,158,lumen,3_otsuOffset,18
1,output\processed_images\3_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,161.50154798761608,20,10.97,7.10833333333332,8670.0,165,lumen,3_otsuOffset,19
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,10.96,5.826086956521742,7650.0,39,lumen,3_otsuOffset,0
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,1.99,0.5833333333333357,4462.5,44,lumen,3_otsuOffset,1
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,3.1,0.5384615384615401,3187.5,46,lumen,3_otsuOffset,2
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,0.0,1.0,382.5,48,lumen,3_otsuOffset,3
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,19.68,5.74261083743842,7650.0,58,lumen,3_otsuOffset,4
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,6.79,0.5625,5737.5,74,lumen,3_otsuOffset,5
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,10.43,7.508333333333326,7650.0,80,lumen,3_otsuOffset,6
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,5.34,0.625,892.5,86,lumen,3_otsuOffset,7
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,0.0,4.0,1657.5,91,lumen,3_otsuOffset,8
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,0.0,1.0,382.5,95,lumen,3_otsuOffset,9
10,output\processed_images\3_otsuOffset\membrane\strip_10.png,1.315,0.7604562737642585,200,263,81.65808823529412,11,15.57,4.452614379084963,6502.5,101,lumen,3_otsuOffset,10
11,output\processed_images\3_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.05741626794259,5,15.64,5.044117647058826,6757.5,42,lumen,3_otsuOffset,0
11,output\processed_images\3_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.05741626794259,5,21.35,6.646153846153844,7650.0,60,lumen,3_otsuOffset,1
