strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,outliers,peaks,type,index,process,membrane_type
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,4.5,7650.0,false,39,membrane,0,6_otsuOffset,outer
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,17.642857142857146,7650.0,false,50,membrane,1,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,25.642857142857146,7650.0,false,58,membrane,2,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,0.5833333333333286,13897.5,false,69,membrane,3,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,17.167741935483875,7650.0,false,77,membrane,4,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,14.951905626134305,7650.0,false,92,membrane,5,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,14.951905626134305,7650.0,false,99,membrane,6,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,15.986803519061581,7650.0,false,113,membrane,7,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,15.986803519061581,7650.0,false,120,membrane,8,6_otsuOffset,inner
0,output\processed_images\6_otsuOffset\membrane\strip_0.png,1.315,0.7604562737642585,200,263,103.0952380952381,10,7.674185463659143,7650.0,false,134,membrane,9,6_otsuOffset,outer
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,17,7.96875,7650.0,false,14,membrane,0,6_otsuOffset,outer
1,output\processed_images\6_otsuOffset\membrane\strip_1.png,1.315,0.7604562737642585,200,263,162.7,17,14.959247648902824,7650.0,false,25,membrane,1,6_otsuOffset,inner
