type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,5,29325,3.48,2.95,6.43,4.69,
peak,1,16,25245,3.91,13.99,17.9,15.94,11.25
peak,3,46,22695,4.46,43.97,48.43,46.2,30.260000000000005
peak,5,61,27030,3.74,58.93,62.67,60.8,14.599999999999994
peak,8,76,18615,4.02,73.38,77.4,75.39,14.590000000000003
peak,9,90,29325,5.0,87.53,92.52,90.02,14.629999999999995
peak,11,105,26775,4.61,102.35,106.97,104.66,14.64
peak,12,119,24990,5.16,117.18,122.33,119.75,15.090000000000003
peak,13,134,27540,4.86,132.28,137.14,134.71,14.960000000000008
peak,14,148,24990,4.83,146.67,151.5,149.08,14.370000000000005
peak,15,164,25245,5.31,161.74,167.06,164.4,15.319999999999993
peak,16,179,29325,10.68,173.82,184.5,179.16,14.759999999999991
trough,1,10,29325,6.83,7.44,14.28,10.86,
trough,2,23,29325,12.75,17.75,30.5,24.12,13.260000000000002
trough,3,38,29325,11.73,32.86,44.6,38.73,14.609999999999996
trough,5,54,29325,10.96,48.11,59.07,53.59,14.860000000000007
trough,6,66,29325,11.72,62.56,74.28,68.42,14.829999999999998
trough,9,82,29325,10.95,76.57,87.53,82.05,13.629999999999995
trough,10,96,29325,10.04,92.52,102.56,97.54,15.490000000000009
trough,12,115,29325,11.02,106.66,117.68,112.17,14.629999999999995
trough,13,128,29325,10.35,121.98,132.34,127.16,14.989999999999995
trough,14,141,29325,9.82,137.04,146.86,141.95,14.789999999999992
trough,15,156,29325,10.7,151.26,161.96,156.61,14.660000000000025
