strip,filename,box_size,x,y,strip_filename,rotation_angle,x1,y1,x2,y2
0,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,596,1664,strip_0.png,-38.99099404250548,76,62,216,200
1,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,872,1428,strip_1.png,-37.21152090290202,71,62,203,220
10,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1888,804,strip_10.png,-34.796026278268315,65,55,230,252
100,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1280,1628,strip_100.png,90.60309119438054,21,28,165,255
101,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1164,664,strip_101.png,104.3110412626064,33,55,155,238
102,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,840,528,strip_102.png,-64.89355395413416,88,52,218,255
103,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1500,764,strip_103.png,92.7702157972002,71,61,188,240
104,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,96,1140,strip_104.png,-49.565262384416975,150,225,66,24
105,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,532,592,strip_105.png,-46.10595875228853,87,93,184,228
106,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,748,360,strip_106.png,-42.6467031338917,64,102,203,237
107,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1080,172,strip_107.png,-43.57973445360096,95,58,210,244
108,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,560,1840,strip_108.png,-58.28865413476202,79,70,149,193
109,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,852,2004,strip_109.png,-56.309932474020215,175,201,115,53
11,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,920,1172,strip_11.png,-37.27817419986903,103,102,188,227
110,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1440,1252,strip_110.png,-50.906141113770495,177,293,101,1
111,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1136,1108,strip_111.png,-41.06982445427453,112,88,182,225
112,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1540,884,strip_112.png,-56.492693511309966,89,97,196,198
113,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1960,752,strip_113.png,-52.15781301361581,115,98,192,233
114,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1436,560,strip_114.png,-46.50179252235935,85,90,204,210
115,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,200,184,1060,strip_115.png,0.982117163224188,107,70,201,213
116,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,200,528,780,strip_116.png,12.93805631718645,78,68,214,218
117,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,200,1716,1576,strip_117.png,9.619727799698852,80,85,165,212
118,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,200,1004,1228,strip_118.png,25.933718277433787,79,97,171,210
119,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,200,1412,1196,strip_119.png,-8.719746506237325,37,85,132,193
12,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1728,1264,strip_12.png,-25.182847480381024,99,73,207,238
120,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,200,284,568,strip_120.png,-7.219020824869662,143,86,239,215
121,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,200,1436,384,strip_121.png,-1.4594493549922665,63,80,183,199
122,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,200,40,1508,strip_122.png,-52.68190461625146,34,104,110,208
123,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,200,232,1012,strip_123.png,-48.62148470411734,139,79,212,211
124,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,200,488,848,strip_124.png,-64.4400348281762,120,104,204,206
125,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,200,756,384,strip_125.png,-56.95976222193078,194,94,270,208
126,./raw_images/2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,200,1504,376,strip_126.png,-66.15318202476097,169,70,228,229
127,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,896,984,strip_127.png,-55.3636918224471,108,244,46,68
128,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,344,1640,strip_128.png,-90.0,99,246,38,83
129,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,812,1740,strip_129.png,-40.9597959815958,112,81,180,264
13,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,208,1848,strip_13.png,-39.42780219603621,106,87,174,215
130,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1108,1752,strip_130.png,-37.34229030628613,73,81,145,209
131,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1368,1484,strip_131.png,-50.19442890773481,138,84,204,216
132,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1916,736,strip_132.png,-38.9667469937993,95,93,176,213
133,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,1476,380,strip_133.png,-38.65980825409009,121,66,203,233
134,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,892,404,strip_134.png,-55.35332004392945,91,71,187,218
135,./raw_images/2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,200,656,380,strip_135.png,-54.19665589162891,109,46,201,221
