strip,grana_height,num_lumen,repeat_distance,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width,type,index,process,lumen_width_nm
101,73.44,5,12.15,0.88,1.1363636363636365,500,440,5.1466165413533815,lumen,0,11_adaptive,5.84842788790157
101,73.44,5,14.34,0.88,1.1363636363636365,500,440,5.903361344537814,lumen,1,11_adaptive,6.708365164247516
101,73.44,5,0.0,0.88,1.1363636363636365,500,440,5.495440729483278,lumen,2,11_adaptive,6.244819010776452
101,73.44,5,13.96,0.88,1.1363636363636365,500,440,6.328421052631569,lumen,3,11_adaptive,7.191387559808602
101,73.44,5,14.98,0.88,1.1363636363636365,500,440,5.909340659340657,lumen,4,11_adaptive,6.7151598401598385
106,151.90972222222223,12,0.53,1.095,0.91324200913242,200,219,0.583333333333333,lumen,0,11_adaptive,0.5327245053272448
106,151.90972222222223,12,5.17,1.095,0.91324200913242,200,219,0.545454545454545,lumen,1,11_adaptive,0.4981320049813196
106,151.90972222222223,12,12.38,1.095,0.91324200913242,200,219,1.4499999999999993,lumen,2,11_adaptive,1.3242009132420085
106,151.90972222222223,12,14.76,1.095,0.91324200913242,200,219,7.017857142857142,lumen,3,11_adaptive,6.4090019569471615
106,151.90972222222223,12,17.53,1.095,0.91324200913242,200,219,7.0,lumen,4,11_adaptive,6.392694063926941
106,151.90972222222223,12,18.11,1.095,0.91324200913242,200,219,8.167155425219939,lumen,5,11_adaptive,7.458589429424601
106,151.90972222222223,12,17.64,1.095,0.91324200913242,200,219,8.555263157894743,lumen,6,11_adaptive,7.813025714972367
106,151.90972222222223,12,16.62,1.095,0.91324200913242,200,219,8.778329197684045,lumen,7,11_adaptive,8.016738993318762
106,151.90972222222223,12,16.76,1.095,0.91324200913242,200,219,7.98498498498499,lumen,8,11_adaptive,7.2922237305799
106,151.90972222222223,12,15.05,1.095,0.91324200913242,200,219,8.02913279132791,lumen,9,11_adaptive,7.332541361943297
106,151.90972222222223,12,12.98,1.095,0.91324200913242,200,219,7.34330484330485,lumen,10,11_adaptive,6.706214468771552
134,80.55263157894737,5,11.17,1.095,0.91324200913242,200,219,6.145299145299145,lumen,0,11_adaptive,5.612145338172735
134,80.55263157894737,5,14.79,1.095,0.91324200913242,200,219,6.697916666666668,lumen,1,11_adaptive,6.11681887366819
134,80.55263157894737,5,17.2,1.095,0.91324200913242,200,219,8.174089068825914,lumen,2,11_adaptive,7.46492152404193
134,80.55263157894737,5,17.15,1.095,0.91324200913242,200,219,7.0909090909090935,lumen,3,11_adaptive,6.4757160647571625
134,80.55263157894737,5,15.0,1.095,0.91324200913242,200,219,6.5428571428571445,lumen,4,11_adaptive,5.975212002609264
135,105.1857142857143,7,1.64,1.095,0.91324200913242,200,219,0.8125,lumen,0,11_adaptive,0.7420091324200913
135,105.1857142857143,7,16.61,1.095,0.91324200913242,200,219,10.343582887700531,lumen,1,11_adaptive,9.446194417991352
135,105.1857142857143,7,16.46,1.095,0.91324200913242,200,219,7.401704199634814,lumen,2,11_adaptive,6.759547214278369
135,105.1857142857143,7,17.89,1.095,0.91324200913242,200,219,8.07376126126126,lumen,3,11_adaptive,7.373297955489735
135,105.1857142857143,7,16.57,1.095,0.91324200913242,200,219,7.760942760942754,lumen,4,11_adaptive,7.087618959765072
135,105.1857142857143,7,14.72,1.095,0.91324200913242,200,219,7.469696969696969,lumen,5,11_adaptive,6.82164106821641
135,105.1857142857143,7,14.26,1.095,0.91324200913242,200,219,7.054545454545448,lumen,6,11_adaptive,6.442507264425066
161,108.0135566188198,9,9.37,0.88,1.1363636363636365,500,440,10.087121212121213,lumen,0,11_adaptive,11.462637741046834
161,108.0135566188198,9,2.3,0.88,1.1363636363636365,500,440,4.914570479354534,lumen,1,11_adaptive,5.584739181084698
161,108.0135566188198,9,14.09,0.88,1.1363636363636365,500,440,6.092879256965944,lumen,2,11_adaptive,6.923726428370391
161,108.0135566188198,9,14.32,0.88,1.1363636363636365,500,440,6.635658914728687,lumen,3,11_adaptive,7.540521494009872
161,108.0135566188198,9,13.4,0.88,1.1363636363636365,500,440,5.932330827067659,lumen,4,11_adaptive,6.741285030758704
161,108.0135566188198,9,12.91,0.88,1.1363636363636365,500,440,6.214156079854803,lumen,5,11_adaptive,7.061540999835004
161,108.0135566188198,9,12.62,0.88,1.1363636363636365,500,440,6.060810810810807,lumen,6,11_adaptive,6.887285012285009
161,108.0135566188198,9,13.35,0.88,1.1363636363636365,500,440,6.373991935483872,lumen,7,11_adaptive,7.243172653958946
161,108.0135566188198,9,10.97,0.88,1.1363636363636365,500,440,5.199999999999989,lumen,8,11_adaptive,5.909090909090897
176,88.68648648648649,6,12.06,0.88,1.1363636363636365,500,440,5.03125,lumen,0,11_adaptive,5.717329545454546
176,88.68648648648649,6,14.48,0.88,1.1363636363636365,500,440,6.274999999999999,lumen,1,11_adaptive,7.1306818181818175
176,88.68648648648649,6,0.0,0.88,1.1363636363636365,500,440,5.833333333333329,lumen,2,11_adaptive,6.628787878787874
176,88.68648648648649,6,13.75,0.88,1.1363636363636365,500,440,6.375757575757575,lumen,3,11_adaptive,7.245179063360881
176,88.68648648648649,6,14.48,0.88,1.1363636363636365,500,440,7.1875,lumen,4,11_adaptive,8.167613636363637
176,88.68648648648649,6,15.64,0.88,1.1363636363636365,500,440,5.6875,lumen,5,11_adaptive,6.4630681818181825
187,80.1875,5,13.44,0.88,1.1363636363636365,500,440,5.8108108108108105,lumen,0,11_adaptive,6.603194103194103
187,80.1875,5,16.66,0.88,1.1363636363636365,500,440,7.604166666666664,lumen,1,11_adaptive,8.641098484848483
187,80.1875,5,15.46,0.88,1.1363636363636365,500,440,6.737520128824471,lumen,2,11_adaptive,7.6562728736641725
187,80.1875,5,16.02,0.88,1.1363636363636365,500,440,7.335164835164832,lumen,3,11_adaptive,8.335414585414583
187,80.1875,5,0.0,0.88,1.1363636363636365,500,440,6.032258064516128,lumen,4,11_adaptive,6.854838709677419
229,122.683284457478,9,15.16,1.095,0.91324200913242,200,219,0.5416666666666661,lumen,0,11_adaptive,0.49467275494672697
229,122.683284457478,9,18.45,1.095,0.91324200913242,200,219,6.140350877192981,lumen,1,11_adaptive,5.607626371865736
229,122.683284457478,9,17.77,1.095,0.91324200913242,200,219,7.241758241758237,lumen,2,11_adaptive,6.613477846354554
229,122.683284457478,9,16.76,1.095,0.91324200913242,200,219,9.113897596656216,lumen,3,11_adaptive,8.323194152197457
229,122.683284457478,9,17.02,1.095,0.91324200913242,200,219,8.658496732026144,lumen,4,11_adaptive,7.907302951622049
229,122.683284457478,9,0.0,1.095,0.91324200913242,200,219,7.973214285714292,lumen,5,11_adaptive,7.281474233529033
229,122.683284457478,9,16.88,1.095,0.91324200913242,200,219,8.068783068783063,lumen,6,11_adaptive,7.368751660989098
229,122.683284457478,9,14.11,1.095,0.91324200913242,200,219,8.083333333333329,lumen,7,11_adaptive,7.382039573820391
232,166.15217391304347,13,13.08,0.88,1.1363636363636365,500,440,1.0,lumen,0,11_adaptive,1.1363636363636365
232,166.15217391304347,13,14.87,0.88,1.1363636363636365,500,440,12.328571428571427,lumen,1,11_adaptive,14.00974025974026
232,166.15217391304347,13,14.85,0.88,1.1363636363636365,500,440,6.583333333333336,lumen,2,11_adaptive,7.481060606060609
232,166.15217391304347,13,15.35,0.88,1.1363636363636365,500,440,7.155080213903744,lumen,3,11_adaptive,8.130772970345165
232,166.15217391304347,13,15.21,0.88,1.1363636363636365,500,440,7.266112266112266,lumen,4,11_adaptive,8.256945756945758
232,166.15217391304347,13,14.13,0.88,1.1363636363636365,500,440,7.910163339382933,lumen,5,11_adaptive,8.988821976571515
232,166.15217391304347,13,15.26,0.88,1.1363636363636365,500,440,7.758241758241752,lumen,6,11_adaptive,8.816183816183809
232,166.15217391304347,13,14.48,0.88,1.1363636363636365,500,440,6.933035714285708,lumen,7,11_adaptive,7.878449675324669
232,166.15217391304347,13,15.25,0.88,1.1363636363636365,500,440,7.694078947368425,lumen,8,11_adaptive,8.743271531100483
232,166.15217391304347,13,15.2,0.88,1.1363636363636365,500,440,6.958333333333343,lumen,9,11_adaptive,7.907196969696981
232,166.15217391304347,13,12.48,0.88,1.1363636363636365,500,440,8.301136363636374,lumen,10,11_adaptive,9.433109504132243
101,72.84482758620689,5,12.34,0.88,1.1363636363636365,500,440,4.906048906048905,lumen,0,11_simple,5.575055575055575
