strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process,lumen_width_nm
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,12.21,4.621621621621625,7650.0,lumen,0,100_otsuOffset,5.251842751842756
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,14.31,4.827205882352942,7650.0,lumen,1,100_otsuOffset,5.485461229946526
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,13.91,4.70232558139535,7650.0,lumen,2,100_otsuOffset,5.3435517970401705
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,15.26,5.61904761904762,7650.0,lumen,3,100_otsuOffset,6.385281385281387
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,12.1,4.53947368421052,7650.0,lumen,4,100_otsuOffset,5.158492822966501
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,14.76,6.2987012987013,7650.0,lumen,0,100_otsuOffset,5.752238628950958
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,17.64,6.884444444444441,7650.0,lumen,1,100_otsuOffset,6.287163876204969
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,18.34,6.852534562211972,7650.0,lumen,2,100_otsuOffset,6.25802243124381
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,16.85,5.801282051282058,6630.0,lumen,3,100_otsuOffset,5.297974476056674
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,16.99,6.077272727272728,7650.0,lumen,4,100_otsuOffset,5.550020755500208
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,16.92,6.239463601532577,7650.0,lumen,5,100_otsuOffset,5.698140275372216
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877192,7,14.36,5.548094373865695,7650.0,lumen,6,100_otsuOffset,5.066752852845383
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,14.8,5.736677115987465,7650.0,lumen,0,100_otsuOffset,5.23897453514837
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,17.54,5.794594594594599,7650.0,lumen,1,100_otsuOffset,5.291867209675433
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,16.86,5.3291536050156765,7140.0,lumen,2,100_otsuOffset,4.866806945219795
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,14.3,4.526666666666671,7650.0,lumen,3,100_otsuOffset,4.133942161339426
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,15.75,6.100000000000001,7650.0,lumen,0,100_otsuOffset,5.570776255707764
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,18.37,6.403361344537814,7650.0,lumen,1,100_otsuOffset,5.847818579486588
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,16.11,4.861111111111114,6757.5,lumen,2,100_otsuOffset,4.439370877727045
135,output\trial_1\rois\strip_135.png,1.095,0.91324200913242,200,219,72.26428571428572,4,14.37,5.28153846153846,7650.0,lumen,3,100_otsuOffset,4.8233227959255345
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,11.47,4.830769230769231,7650.0,lumen,0,100_otsuOffset,5.489510489510491
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,14.06,5.085841694537344,7650.0,lumen,1,100_otsuOffset,5.779365561974256
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,14.02,4.916666666666664,7650.0,lumen,2,100_otsuOffset,5.58712121212121
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,13.75,4.782051282051285,7650.0,lumen,3,100_otsuOffset,5.434149184149187
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,13.15,4.197402597402601,7650.0,lumen,4,100_otsuOffset,4.769775678866592
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,12.15,3.199792423456145,7650.0,lumen,5,100_otsuOffset,3.6361277539274375
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,13.43,4.996212121212125,7650.0,lumen,6,100_otsuOffset,5.677513774104687
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,10.93,4.705555555555563,7650.0,lumen,7,100_otsuOffset,5.347222222222231
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,11.83,4.353703703703701,7650.0,lumen,0,100_otsuOffset,4.94739057239057
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,14.45,4.967777777777776,7650.0,lumen,1,100_otsuOffset,5.645202020202019
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,13.93,4.849624060150376,7650.0,lumen,2,100_otsuOffset,5.510936431989064
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,14.18,4.989517819706506,7650.0,lumen,3,100_otsuOffset,5.669906613302849
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,15.52,5.981781376518214,7650.0,lumen,4,100_otsuOffset,6.797478836952516
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,12.62,5.166666666666671,7650.0,lumen,5,100_otsuOffset,5.871212121212127
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,13.28,5.144430844553241,7650.0,lumen,0,100_otsuOffset,5.845944141537775
