strip,grana_height,num_lumen,px_per_nm,nm_per_px,scale,scale_pixels,membrane_width,type,index,process,membrane_width_nm
101,73.44,5,0.88,1.1363636363636365,500,440,5.650526315789474,membrane,0,11_adaptive,6.421052631578948
101,73.44,5,0.88,1.1363636363636365,500,440,8.357142857142861,membrane,1,11_adaptive,9.496753246753252
101,73.44,5,0.88,1.1363636363636365,500,440,8.525210084033617,membrane,2,11_adaptive,9.687738731856383
101,73.44,5,0.88,1.1363636363636365,500,440,8.525210084033617,membrane,3,11_adaptive,9.687738731856383
101,73.44,5,0.88,1.1363636363636365,500,440,8.401702127659583,membrane,4,11_adaptive,9.547388781431344
101,73.44,5,0.88,1.1363636363636365,500,440,8.900809716599198,membrane,5,11_adaptive,10.114556496135453
101,73.44,5,0.88,1.1363636363636365,500,440,4.821428571428569,membrane,6,11_adaptive,5.478896103896102
106,151.90972222222223,12,1.095,0.91324200913242,200,219,4.4375,membrane,0,11_adaptive,4.052511415525114
106,151.90972222222223,12,1.095,0.91324200913242,200,219,0.625,membrane,1,11_adaptive,0.5707762557077625
106,151.90972222222223,12,1.095,0.91324200913242,200,219,2.9642857142857157,membrane,2,11_adaptive,2.7071102413568178
106,151.90972222222223,12,1.095,0.91324200913242,200,219,6.28125,membrane,3,11_adaptive,5.736301369863013
106,151.90972222222223,12,1.095,0.91324200913242,200,219,9.241935483870968,membrane,4,11_adaptive,8.440123729562528
106,151.90972222222223,12,1.095,0.91324200913242,200,219,9.485645933014354,membrane,5,11_adaptive,8.662690349784798
106,151.90972222222223,12,1.095,0.91324200913242,200,219,9.630645161290316,membrane,6,11_adaptive,8.795109736338187
106,151.90972222222223,12,1.095,0.91324200913242,200,219,8.100485100485088,membrane,7,11_adaptive,7.397703288114235
106,151.90972222222223,12,1.095,0.91324200913242,200,219,9.165311653116532,membrane,8,11_adaptive,8.370147628416925
106,151.90972222222223,12,1.095,0.91324200913242,200,219,8.287037037037038,membrane,9,11_adaptive,7.568070353458482
106,151.90972222222223,12,1.095,0.91324200913242,200,219,7.12207357859532,membrane,10,11_adaptive,6.504176784105315
106,151.90972222222223,12,1.095,0.91324200913242,200,219,4.333333333333343,membrane,11,11_adaptive,3.9573820395738286
134,80.55263157894737,5,1.095,0.91324200913242,200,219,3.0769230769230766,membrane,0,11_adaptive,2.809975412715138
134,80.55263157894737,5,1.095,0.91324200913242,200,219,6.75,membrane,1,11_adaptive,6.164383561643835
134,80.55263157894737,5,1.095,0.91324200913242,200,219,9.429276315789473,membrane,2,11_adaptive,8.611211247296321
134,80.55263157894737,5,1.095,0.91324200913242,200,219,8.615384615384613,membrane,3,11_adaptive,7.867931155602386
134,80.55263157894737,5,1.095,0.91324200913242,200,219,9.5090909090909,membrane,4,11_adaptive,8.684101286841004
134,80.55263157894737,5,1.095,0.91324200913242,200,219,7.409774436090231,membrane,5,11_adaptive,6.766917293233087
135,105.1857142857143,7,1.095,0.91324200913242,200,219,7.218181818181819,membrane,0,11_adaptive,6.591946865919469
135,105.1857142857143,7,1.095,0.91324200913242,200,219,1.6999999999999993,membrane,1,11_adaptive,1.5525114155251134
135,105.1857142857143,7,1.095,0.91324200913242,200,219,8.149905123339657,membrane,2,11_adaptive,7.442835729077312
135,105.1857142857143,7,1.095,0.91324200913242,200,219,9.97144314125446,membrane,3,11_adaptive,9.106340768268913
135,105.1857142857143,7,1.095,0.91324200913242,200,219,9.668981481481488,membrane,4,11_adaptive,8.830120074412317
135,105.1857142857143,7,1.095,0.91324200913242,200,219,7.954545454545453,membrane,5,11_adaptive,7.264425072644249
135,105.1857142857143,7,1.095,0.91324200913242,200,219,6.555555555555557,membrane,6,11_adaptive,5.986808726534755
135,105.1857142857143,7,1.095,0.91324200913242,200,219,6.831168831168839,membrane,7,11_adaptive,6.238510348099396
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,5.000704721634957,membrane,0,11_adaptive,5.682619001857906
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,1.875,membrane,1,11_adaptive,2.1306818181818183
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,8.505402160864342,membrane,2,11_adaptive,9.665229728254936
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,7.487148102815176,membrane,3,11_adaptive,8.508122844108156
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,7.877192982456144,membrane,4,11_adaptive,8.951355661881983
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,7.064039408867004,membrane,5,11_adaptive,8.027317510076141
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,6.328947368421055,membrane,6,11_adaptive,7.191985645933017
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,6.782939189189193,membrane,7,11_adaptive,7.707885442260447
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,7.165591397849468,membrane,8,11_adaptive,8.142717497556214
161,108.0135566188198,9,0.88,1.1363636363636365,500,440,4.377192982456151,membrane,9,11_adaptive,4.974082934609263
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,5.611486486486488,membrane,0,11_adaptive,6.376689189189191
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,8.443750000000001,membrane,1,11_adaptive,9.595170454545457
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,7.958333333333336,membrane,2,11_adaptive,9.043560606060609
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,7.958333333333336,membrane,3,11_adaptive,9.043560606060609
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,7.866666666666667,membrane,4,11_adaptive,8.939393939393941
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,8.340909090909093,membrane,5,11_adaptive,9.47830578512397
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,8.5625,membrane,6,11_adaptive,9.730113636363637
176,88.68648648648649,6,0.88,1.1363636363636365,500,440,5.512500000000003,membrane,7,11_adaptive,6.264204545454549
187,80.1875,5,0.88,1.1363636363636365,500,440,6.0,membrane,0,11_adaptive,6.818181818181818
187,80.1875,5,0.88,1.1363636363636365,500,440,9.25168918918919,membrane,1,11_adaptive,10.513283169533171
187,80.1875,5,0.88,1.1363636363636365,500,440,8.855072463768117,membrane,2,11_adaptive,10.062582345191043
187,80.1875,5,0.88,1.1363636363636365,500,440,8.597883597883609,membrane,3,11_adaptive,9.770322270322284
187,80.1875,5,0.88,1.1363636363636365,500,440,8.775434243176178,membrane,4,11_adaptive,9.972084367245658
187,80.1875,5,0.88,1.1363636363636365,500,440,8.775434243176178,membrane,5,11_adaptive,9.972084367245658
187,80.1875,5,0.88,1.1363636363636365,500,440,5.1875,membrane,6,11_adaptive,5.894886363636364
229,122.683284457478,9,1.095,0.91324200913242,200,219,6.389578163771713,membrane,0,11_adaptive,5.835231199791518
229,122.683284457478,9,1.095,0.91324200913242,200,219,9.453201970443352,membrane,1,11_adaptive,8.633061160222239
229,122.683284457478,9,1.095,0.91324200913242,200,219,9.222816399286993,membrane,2,11_adaptive,8.422663378344286
229,122.683284457478,9,1.095,0.91324200913242,200,219,9.006944444444443,membrane,3,11_adaptive,8.225520040588531
229,122.683284457478,9,1.095,0.91324200913242,200,219,8.57142857142857,membrane,4,11_adaptive,7.827788649706456
229,122.683284457478,9,1.095,0.91324200913242,200,219,9.324074074074076,membrane,5,11_adaptive,8.515136140706918
229,122.683284457478,9,1.095,0.91324200913242,200,219,9.324074074074076,membrane,6,11_adaptive,8.515136140706918
229,122.683284457478,9,1.095,0.91324200913242,200,219,8.266666666666666,membrane,7,11_adaptive,7.5494672754946714
229,122.683284457478,9,1.095,0.91324200913242,200,219,6.666666666666657,membrane,8,11_adaptive,6.088280060882791
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,5.485507246376809,membrane,0,11_adaptive,6.233530961791828
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,7.895424836601308,membrane,1,11_adaptive,8.972073677956033
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,7.538083538083541,membrane,2,11_adaptive,8.566004020549478
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,7.633603238866399,membrane,3,11_adaptive,8.674549135075454
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,7.236453201970448,membrane,4,11_adaptive,8.22324227496642
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,7.670329670329679,membrane,5,11_adaptive,8.716283716283726
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,6.71875,membrane,6,11_adaptive,7.6349431818181825
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,8.410087719298232,membrane,7,11_adaptive,9.556917862838901
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,6.636363636363626,membrane,8,11_adaptive,7.541322314049576
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,7.262499999999989,membrane,9,11_adaptive,8.252840909090898
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,7.035714285714278,membrane,10,11_adaptive,7.995129870129862
232,166.15217391304347,13,0.88,1.1363636363636365,500,440,6.5,membrane,11,11_adaptive,7.386363636363637
101,72.84482758620689,5,0.88,1.1363636363636365,500,440,5.534016775396086,membrane,0,11_simple,6.2886554265864625
101,72.84482758620689,5,0.88,1.1363636363636365,500,440,9.329004329004327,membrane,1,11_simple,10.601141282959464
101,72.84482758620689,5,0.88,1.1363636363636365,500,440,9.214285714285715,membrane,2,11_simple,10.470779220779223
101,72.84482758620689,5,0.88,1.1363636363636365,500,440,8.955738934733688,membrane,3,11_simple,10.176976062197374
101,72.84482758620689,5,0.88,1.1363636363636365,500,440,10.166666666666671,membrane,4,11_simple,11.55303030303031
101,72.84482758620689,5,0.88,1.1363636363636365,500,440,4.681818181818187,membrane,5,11_simple,5.320247933884304
106,122.06821705426356,7,1.095,0.91324200913242,200,219,5.837914023960536,membrane,0,11_simple,5.331428332384051
106,122.06821705426356,7,1.095,0.91324200913242,200,219,9.645161290322577,membrane,1,11_simple,8.808366475180435
106,122.06821705426356,7,1.095,0.91324200913242,200,219,10.388888888888886,membrane,2,11_simple,9.48756976154236
106,122.06821705426356,7,1.095,0.91324200913242,200,219,11.48850574712644,membrane,3,11_simple,10.491786070435104
106,122.06821705426356,7,1.095,0.91324200913242,200,219,9.909090909090908,membrane,4,11_simple,9.04939809049398
106,122.06821705426356,7,1.095,0.91324200913242,200,219,9.944099378881988,membrane,5,11_simple,9.081369295782638
106,122.06821705426356,7,1.095,0.91324200913242,200,219,9.864341085271334,membrane,6,11_simple,9.00853067148067
106,122.06821705426356,7,1.095,0.91324200913242,200,219,6.213333333333338,membrane,7,11_simple,5.674277016742774
134,70.7138047138047,4,1.095,0.91324200913242,200,219,6.545454545454543,membrane,0,11_simple,5.977584059775838
134,70.7138047138047,4,1.095,0.91324200913242,200,219,11.028888888888886,membrane,1,11_simple,10.072044647387111
134,70.7138047138047,4,1.095,0.91324200913242,200,219,11.603448275862064,membrane,2,11_simple,10.596756416312386
134,70.7138047138047,4,1.095,0.91324200913242,200,219,11.577777777777769,membrane,3,11_simple,10.573313039066456
134,70.7138047138047,4,1.095,0.91324200913242,200,219,7.666666666666657,membrane,4,11_simple,7.001522070015212
135,71.7989417989418,4,1.095,0.91324200913242,200,219,7.595238095238095,membrane,0,11_simple,6.9362904979343325
135,71.7989417989418,4,1.095,0.91324200913242,200,219,11.333333333333336,membrane,1,11_simple,10.350076103500763
135,71.7989417989418,4,1.095,0.91324200913242,200,219,12.237373737373744,membrane,2,11_simple,11.17568377842351
135,71.7989417989418,4,1.095,0.91324200913242,200,219,10.35714285714286,membrane,3,11_simple,9.458577951728639
135,71.7989417989418,4,1.095,0.91324200913242,200,219,7.010370370370367,membrane,4,11_simple,6.402164721799422
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,4.0803382663847785,membrane,0,11_simple,4.636748029982703
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,8.611111111111114,membrane,1,11_simple,9.78535353535354
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,7.846590909090906,membrane,2,11_simple,8.916580578512393
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,8.751838235294116,membrane,3,11_simple,9.945270721925132
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,8.474537037037038,membrane,4,11_simple,9.630155723905727
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,7.93202764976958,membrane,5,11_simple,9.013667783829069
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,8.681818181818187,membrane,6,11_simple,9.86570247933885
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,7.75595238095238,membrane,7,11_simple,8.81358225108225
161,107.19342030629608,8,0.88,1.1363636363636365,500,440,4.334212261041529,membrane,8,11_simple,4.9252412057290105
