strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,12.21,4.621621621621625,7650.0,lumen,0,140_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,14.31,4.827205882352942,7650.0,lumen,1,140_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,13.91,4.70232558139535,7650.0,lumen,2,140_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,15.26,5.61904761904762,7650.0,lumen,3,140_otsuOffset
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.02380952380953,5,12.1,4.53947368421052,7650.0,lumen,4,140_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877193,7,14.76,6.2987012987013,7650.0,lumen,0,140_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877193,7,17.64,6.884444444444441,7650.0,lumen,1,140_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877193,7,18.34,6.8525345622119715,7650.0,lumen,2,140_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877193,7,16.85,5.801282051282058,6630.0,lumen,3,140_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877193,7,16.99,6.077272727272728,7650.0,lumen,4,140_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877193,7,16.92,6.239463601532577,7650.0,lumen,5,140_otsuOffset
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.56140350877193,7,14.36,5.548094373865695,7650.0,lumen,6,140_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,14.8,5.736677115987465,7650.0,lumen,0,140_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,17.54,5.794594594594599,7650.0,lumen,1,140_otsuOffset
134,output\trial_1\rois\strip_134.png,1.095,0.91324200913242,200,219,70.7138047138047,4,16.86,5.3291536050156765,7140.0,lumen,2,140_otsuOffset
