strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,membrane_width,membrane_width_heights,peaks,type,index,process,membrane_width_nm
101,output\trial_2\processed_images\0_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5.953703703703702,7650.0,26,membrane,0,0_otsuOffset,6.765572390572389
101,output\trial_2\processed_images\0_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,10.1575,7650.0,39,membrane,1,0_otsuOffset,11.542613636363638
101,output\trial_2\processed_images\0_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,10.605194805194806,7650.0,52,membrane,2,0_otsuOffset,12.051357733175918
101,output\trial_2\processed_images\0_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,9.570723684210527,7650.0,66,membrane,3,0_otsuOffset,10.875822368421055
101,output\trial_2\processed_images\0_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,11.089761570827475,7650.0,81,membrane,4,0_otsuOffset,12.602001785031224
101,output\trial_2\processed_images\0_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5.555555555555557,7650.0,94,membrane,5,0_otsuOffset,6.313131313131316
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,6.607142857142858,7650.0,27,membrane,0,0_otsuOffset,6.0339204174820615
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,11.501689189189186,7650.0,42,membrane,1,0_otsuOffset,10.503825743551767
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,11.709677419354833,7650.0,59,membrane,2,0_otsuOffset,10.69376933274414
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,13.214285714285708,7650.0,78,membrane,3,0_otsuOffset,12.067840834964116
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,11.837500000000006,7650.0,95,membrane,4,0_otsuOffset,10.810502283105027
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,12.00793650793652,7650.0,112,membrane,5,0_otsuOffset,10.966152062042484
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,11.429381735677836,7650.0,129,membrane,6,0_otsuOffset,10.437791539431814
106,output\trial_2\processed_images\0_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545452,7.909090909090906,7650.0,144,membrane,7,0_otsuOffset,7.222914072229137
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,7.917701863354036,7650.0,25,membrane,0,0_otsuOffset,7.230777957400946
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,12.334096109839813,7650.0,40,membrane,1,0_otsuOffset,11.264014712182476
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,12.666666666666664,7650.0,58,membrane,2,0_otsuOffset,11.567732115677318
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,12.373333333333337,7650.0,75,membrane,3,0_otsuOffset,11.29984779299848
134,output\trial_2\processed_images\0_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,8.286634460547504,7650.0,89,membrane,4,0_otsuOffset,7.56770270369635
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,8.785714285714285,7650.0,27,membrane,0,0_otsuOffset,8.023483365949119
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,12.415686274509802,7650.0,42,membrane,1,0_otsuOffset,11.338526278091143
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,29.075255102040813,7650.0,61,membrane,2,0_otsuOffset,26.5527443854254
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,29.075255102040813,7650.0,76,membrane,3,0_otsuOffset,26.5527443854254
135,output\trial_2\processed_images\0_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,8.13095238095238,7650.0,90,membrane,4,0_otsuOffset,7.4255272885409855
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,5.94638242894057,7650.0,26,membrane,0,0_otsuOffset,6.757252760159739
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9.464473684210525,7650.0,37,membrane,1,0_otsuOffset,10.755083732057415
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9.623376623376622,7650.0,51,membrane,2,0_otsuOffset,10.935655253837071
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,10.030241935483872,7650.0,64,membrane,3,0_otsuOffset,11.398002199413492
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9.908004778972526,7650.0,79,membrane,4,0_otsuOffset,11.259096339741507
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,10.3010752688172,7650.0,91,membrane,5,0_otsuOffset,11.705767350928637
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,10.0,7650.0,104,membrane,6,0_otsuOffset,11.363636363636365
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,9.771958537915978,7650.0,118,membrane,7,0_otsuOffset,11.104498338540886
161,output\trial_2\processed_images\0_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.49551971326164,5.467741935483872,7650.0,128,membrane,8,0_otsuOffset,6.2133431085044
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,6.034920634920635,7650.0,25,membrane,0,0_otsuOffset,6.857864357864359
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.89578163771712,7650.0,37,membrane,1,0_otsuOffset,12.381570042860364
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.30952380952381,7650.0,52,membrane,2,0_otsuOffset,11.715367965367967
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,9.983130904183533,7650.0,65,membrane,3,0_otsuOffset,11.344466936572196
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.3010752688172,7650.0,80,membrane,4,0_otsuOffset,11.705767350928637
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,10.375,7650.0,95,membrane,5,0_otsuOffset,11.789772727272728
176,output\trial_2\processed_images\0_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,5.952380952380949,7650.0,108,membrane,6,0_otsuOffset,6.764069264069261
187,output\trial_2\processed_images\0_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,7.045454545454547,7650.0,23,membrane,0,0_otsuOffset,8.006198347107441
187,output\trial_2\processed_images\0_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,11.512718600953892,7650.0,36,membrane,1,0_otsuOffset,13.082634773811243
187,output\trial_2\processed_images\0_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,11.045454545454549,7650.0,53,membrane,2,0_otsuOffset,12.551652892561988
187,output\trial_2\processed_images\0_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,11.11904761904762,7650.0,69,membrane,3,0_otsuOffset,12.635281385281388
187,output\trial_2\processed_images\0_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,10.885553470919334,7650.0,84,membrane,4,0_otsuOffset,12.369947126044698
187,output\trial_2\processed_images\0_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,6.625,7650.0,97,membrane,5,0_otsuOffset,7.528409090909092
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,7.0,7650.0,25,membrane,0,0_otsuOffset,6.392694063926941
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.930555555555555,7650.0,40,membrane,1,0_otsuOffset,10.89548452562151
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.848739495798313,7650.0,59,membrane,2,0_otsuOffset,10.82076666282951
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,12.07717391304348,7650.0,76,membrane,3,0_otsuOffset,11.029382568989478
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.34551495016612,7650.0,93,membrane,4,0_otsuOffset,10.361200867731615
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,12.63383838383838,7650.0,110,membrane,5,0_otsuOffset,11.537751948710849
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.340909090909092,7650.0,128,membrane,6,0_otsuOffset,10.356994603569946
