process,strip,mean width (nm),sd
0_otsuOffset,106,6.63,0.84
0_otsuOffset,134,7.4,0.24
0_otsuOffset,135,7.72,0.42
0_otsuOffset,161,6.49,0.38
0_otsuOffset,176,6.81,0.07
0_otsuOffset,187,7.77,0.34
0_otsuOffset,229,6.72,0.47
0_otsuOffset,232,8.07,1.44
0_otsuOffset,overall,7.2,0.53
1_otsuOffset,106,6.74,0.69
1_otsuOffset,134,7.47,0.33
1_otsuOffset,135,7.72,0.42
1_otsuOffset,161,6.52,0.41
1_otsuOffset,176,6.83,0.06
1_otsuOffset,187,7.84,0.33
1_otsuOffset,229,6.76,0.5
1_otsuOffset,232,8.15,1.39
1_otsuOffset,overall,7.25,0.52
2_otsuOffset,106,6.63,0.84
2_otsuOffset,134,7.4,0.24
2_otsuOffset,135,7.72,0.42
2_otsuOffset,161,6.49,0.38
2_otsuOffset,176,6.81,0.07
2_otsuOffset,187,7.77,0.34
2_otsuOffset,229,6.72,0.47
2_otsuOffset,232,8.07,1.44
2_otsuOffset,overall,7.2,0.53
3_otsuOffset,106,6.74,0.69
3_otsuOffset,134,7.47,0.33
3_otsuOffset,135,7.72,0.42
3_otsuOffset,161,6.52,0.41
3_otsuOffset,176,6.83,0.06
3_otsuOffset,187,7.84,0.33
3_otsuOffset,229,6.76,0.5
3_otsuOffset,232,8.15,1.39
3_otsuOffset,overall,7.25,0.52
4_otsuOffset,106,6.63,0.84
4_otsuOffset,134,7.4,0.24
4_otsuOffset,135,7.72,0.42
4_otsuOffset,161,6.49,0.38
4_otsuOffset,176,6.81,0.07
4_otsuOffset,187,7.77,0.34
4_otsuOffset,229,6.72,0.47
4_otsuOffset,232,8.07,1.44
4_otsuOffset,overall,7.2,0.53
5_otsuOffset,106,6.74,0.69
5_otsuOffset,134,7.47,0.33
5_otsuOffset,135,7.72,0.42
5_otsuOffset,161,6.52,0.41
5_otsuOffset,176,6.83,0.06
5_otsuOffset,187,7.84,0.33
5_otsuOffset,229,6.76,0.5
5_otsuOffset,232,8.15,1.39
5_otsuOffset,overall,7.25,0.52
