strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,12.04,3.814285714285713,7650.0,31,lumen,1_otsuOffset,0
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.29,3.7044642857142875,7650.0,46,lumen,1_otsuOffset,1
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.17,4.022522522522522,7650.0,59,lumen,1_otsuOffset,2
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.8,4.447253705318232,7650.0,74,lumen,1_otsuOffset,3
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,12.42,4.096618357487927,7650.0,88,lumen,1_otsuOffset,4
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7,14.81,5.614800759013285,7650.0,33,lumen,1_otsuOffset,0
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7,17.27,5.421921921921928,7650.0,50,lumen,1_otsuOffset,1
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7,18.41,5.71076923076923,7650.0,69,lumen,1_otsuOffset,2
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7,16.92,4.7597926267281,5992.5,86,lumen,1_otsuOffset,3
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7,16.76,4.75,7650.0,103,lumen,1_otsuOffset,4
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7,17.31,5.529824561403501,7140.0,121,lumen,1_otsuOffset,5
106,output\trial_2\processed_images\1_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,7,14.5,4.668621700879754,7650.0,136,lumen,1_otsuOffset,6
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,15.07,4.810869565217388,7650.0,32,lumen,1_otsuOffset,0
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,17.34,4.657142857142851,7650.0,48,lumen,1_otsuOffset,1
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,17.24,4.785964912280704,7012.5,66,lumen,1_otsuOffset,2
134,output\trial_2\processed_images\1_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,13.79,3.5416666666666714,6630.0,84,lumen,1_otsuOffset,3
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,4,16.18,5.532258064516128,7650.0,33,lumen,1_otsuOffset,0
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,4,25.83,5.003252032520329,7650.0,51,lumen,1_otsuOffset,1
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,4,0.0,4.150568181818187,2167.5,69,lumen,1_otsuOffset,2
135,output\trial_2\processed_images\1_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,4,22.79,4.145833333333329,7650.0,85,lumen,1_otsuOffset,3
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,8,11.59,3.579192546583851,7650.0,30,lumen,1_otsuOffset,0
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,8,14.05,4.223214285714285,7650.0,43,lumen,1_otsuOffset,1
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,8,13.94,4.0909090909090935,7650.0,58,lumen,1_otsuOffset,2
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,8,14.05,4.019999999999996,7650.0,72,lumen,1_otsuOffset,3
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,8,13.07,3.1011904761904674,7012.5,86,lumen,1_otsuOffset,4
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,8,11.7,2.4377990430622134,5100.0,98,lumen,1_otsuOffset,5
161,output\trial_2\processed_images\1_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,8,13.66,3.5382978723404364,7650.0,111,lumen,1_otsuOffset,6
