strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,index,process
101,output\trial_2\processed_images\2_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,12.15,4.090277777777779,7650.0,31,lumen,0,2_otsuOffset
101,output\trial_2\processed_images\2_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.15,3.7657142857142887,7650.0,46,lumen,1,2_otsuOffset
101,output\trial_2\processed_images\2_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.21,4.119617224880379,7650.0,59,lumen,2,2_otsuOffset
101,output\trial_2\processed_images\2_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,14.81,4.476814516129039,7650.0,74,lumen,3,2_otsuOffset
101,output\trial_2\processed_images\2_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5,12.42,4.096618357487927,7650.0,88,lumen,4,2_otsuOffset
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,14.88,5.830357142857142,7650.0,33,lumen,0,2_otsuOffset
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,17.42,5.810810810810814,7650.0,50,lumen,1,2_otsuOffset
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,18.25,5.790322580645167,7650.0,69,lumen,2,2_otsuOffset
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,16.91,4.942857142857136,5992.5,86,lumen,3,2_otsuOffset
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,16.76,4.8402777777777715,7650.0,103,lumen,4,2_otsuOffset
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,17.2,5.602787456445995,7140.0,121,lumen,5,2_otsuOffset
106,output\trial_2\processed_images\2_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.29545454545453,7,14.61,4.938689217758963,7650.0,136,lumen,6,2_otsuOffset
134,output\trial_2\processed_images\2_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,14.97,4.839816933638446,7650.0,32,lumen,0,2_otsuOffset
134,output\trial_2\processed_images\2_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,17.42,4.920289855072468,7650.0,48,lumen,1,2_otsuOffset
134,output\trial_2\processed_images\2_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,17.09,4.846969696969694,7012.5,66,lumen,2,2_otsuOffset
134,output\trial_2\processed_images\2_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,4,14.04,4.016296296296289,6630.0,84,lumen,3,2_otsuOffset
135,output\trial_2\processed_images\2_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,4,16.22,5.617647058823529,7650.0,33,lumen,0,2_otsuOffset
