strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,peaks,type,index,process,membrane_type
101,output\trial_2\processed_images\3_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,6,5.9671957671957685,7650.0,26,membrane,0,3_otsuOffset,outer
101,output\trial_2\processed_images\3_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,6,10.481250000000003,7650.0,39,membrane,1,3_otsuOffset,inner
101,output\trial_2\processed_images\3_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,6,10.680952380952377,7650.0,52,membrane,2,3_otsuOffset,inner
101,output\trial_2\processed_images\3_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,6,9.621621621621621,7650.0,67,membrane,3,3_otsuOffset,inner
101,output\trial_2\processed_images\3_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,6,11.089761570827477,7650.0,81,membrane,4,3_otsuOffset,inner
101,output\trial_2\processed_images\3_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,6,5.555555555555557,7650.0,94,membrane,5,3_otsuOffset,outer
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,6.843068875326939,7650.0,27,membrane,0,3_otsuOffset,outer
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,11.542130365659773,7650.0,42,membrane,1,3_otsuOffset,inner
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,12.15811965811966,7650.0,60,membrane,2,3_otsuOffset,inner
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,13.234285714285704,7650.0,78,membrane,3,3_otsuOffset,inner
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,11.967741935483872,7650.0,95,membrane,4,3_otsuOffset,inner
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,12.049999999999997,7650.0,112,membrane,5,3_otsuOffset,inner
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,11.757215619694392,7650.0,129,membrane,6,3_otsuOffset,inner
106,output\trial_2\processed_images\3_otsuOffset\membrane\strip_106.png,1.095,0.91324200913242,200,219,123.35626535626534,8,7.9090909090909065,7650.0,144,membrane,7,3_otsuOffset,outer
134,output\trial_2\processed_images\3_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,7.917701863354036,7650.0,25,membrane,0,3_otsuOffset,outer
134,output\trial_2\processed_images\3_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,12.592857142857149,7650.0,40,membrane,1,3_otsuOffset,inner
134,output\trial_2\processed_images\3_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,12.778947368421058,7650.0,58,membrane,2,3_otsuOffset,inner
134,output\trial_2\processed_images\3_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,12.725000000000009,7650.0,75,membrane,3,3_otsuOffset,inner
134,output\trial_2\processed_images\3_otsuOffset\membrane\strip_134.png,1.095,0.91324200913242,200,219,71.61335403726709,5,8.434782608695656,7650.0,89,membrane,4,3_otsuOffset,outer
135,output\trial_2\processed_images\3_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,8.785714285714285,7650.0,27,membrane,0,3_otsuOffset,outer
135,output\trial_2\processed_images\3_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,12.501075268817203,7650.0,42,membrane,1,3_otsuOffset,inner
135,output\trial_2\processed_images\3_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,13.781596452328152,7650.0,61,membrane,2,3_otsuOffset,inner
135,output\trial_2\processed_images\3_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,11.21875,7650.0,76,membrane,3,3_otsuOffset,inner
135,output\trial_2\processed_images\3_otsuOffset\membrane\strip_135.png,1.095,0.91324200913242,200,219,73.25,5,8.13095238095238,7650.0,90,membrane,4,3_otsuOffset,outer
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,5.997062279670974,7650.0,26,membrane,0,3_otsuOffset,outer
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,10.026785714285715,7650.0,37,membrane,1,3_otsuOffset,inner
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,9.623376623376622,7650.0,51,membrane,2,3_otsuOffset,inner
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,10.079999999999998,7650.0,64,membrane,3,3_otsuOffset,inner
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,9.983333333333334,7650.0,79,membrane,4,3_otsuOffset,inner
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,10.333333333333329,7650.0,91,membrane,5,3_otsuOffset,inner
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,10.474999999999994,7650.0,104,membrane,6,3_otsuOffset,inner
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,9.771958537915978,7650.0,118,membrane,7,3_otsuOffset,inner
161,output\trial_2\processed_images\3_otsuOffset\membrane\strip_161.png,0.88,1.1363636363636365,500,440,108.50828247602442,9,5.486260454002391,7650.0,128,membrane,8,3_otsuOffset,outer
176,output\trial_2\processed_images\3_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,6.048366013071895,7650.0,25,membrane,0,3_otsuOffset,outer
176,output\trial_2\processed_images\3_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,10.956221198156683,7650.0,37,membrane,1,3_otsuOffset,inner
176,output\trial_2\processed_images\3_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,10.400921658986178,7650.0,52,membrane,2,3_otsuOffset,inner
176,output\trial_2\processed_images\3_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,10.085470085470078,7650.0,65,membrane,3,3_otsuOffset,inner
176,output\trial_2\processed_images\3_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,10.467741935483872,7650.0,80,membrane,4,3_otsuOffset,inner
176,output\trial_2\processed_images\3_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,10.451612903225808,7650.0,95,membrane,5,3_otsuOffset,inner
176,output\trial_2\processed_images\3_otsuOffset\membrane\strip_176.png,0.88,1.1363636363636365,500,440,88.91111111111111,7,5.969696969696969,7650.0,108,membrane,6,3_otsuOffset,outer
187,output\trial_2\processed_images\3_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,6,7.104278074866311,7650.0,23,membrane,0,3_otsuOffset,outer
187,output\trial_2\processed_images\3_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,6,11.641711229946527,7650.0,36,membrane,1,3_otsuOffset,inner
187,output\trial_2\processed_images\3_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,6,11.045454545454547,7650.0,53,membrane,2,3_otsuOffset,inner
