filename,x,y,scale
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1000,1100,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1728,1332,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,284,1524,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,520,772,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1024,608,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1284,808,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1040,1084,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,280,1600,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,880,1408,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,512,1732,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,540,708,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1312,812,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1860,828,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,152,1892,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,652,1080,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1164,636,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1584,1196,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,164,1368,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,296,1528,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,288,376,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1520,572,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,132,868,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1904,1876,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,956,412,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1152,1768,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1052,136,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1032,932,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,1184,620,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,1560,608,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,1280,1484,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,852,484,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,652,476,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,1324,304,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,1092,144,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,600,1788,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,92,1136,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,904,976,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,660,336,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,920,396,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1532,364,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1280,280,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1388,1000,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1392,1476,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1116,1748,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,836,1720,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1932,724,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1424,644,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,328,1696,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,1628,528,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,1732,348,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,464,252,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,988,520,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,1804,1020,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,756,1320,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,1916,456,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,1928,344,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,1268,360,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,716,868,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,1280,804,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,1652,876,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,476,1700,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,252,912,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,232,1304,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,952,252,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,1240,432,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,1656,572,200
