Filename,strip_filename,Counter,Rep,X,Y
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,strip_0001_1,0001,1,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,strip_0002_2,0002,2,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,strip_0003_3,0003,3,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,strip_0004_1,0004,1,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,strip_0005_2,0005,2,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,strip_0006_3,0006,3,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,strip_0007_1,0007,1,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,strip_0008_2,0008,2,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,strip_0009_3,0009,3,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,strip_0010_1,0010,1,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,strip_0011_2,0011,2,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,strip_0012_3,0012,3,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,strip_0013_1,0013,1,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,strip_0014_2,0014,2,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,strip_0015_3,0015,3,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,strip_0016_1,0016,1,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,strip_0017_2,0017,2,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,strip_0018_3,0018,3,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,strip_0019_1,0019,1,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,strip_0020_2,0020,2,,
raw_images\2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,strip_0021_3,0021,3,,
raw_images\2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,strip_0022_1,0022,1,,
raw_images\2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,strip_0023_2,0023,2,,
raw_images\2023-2-14_Wild Type_500uE 1 hour_3_018_19k.png,strip_0024_3,0024,3,,
raw_images\2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,strip_0025_1,0025,1,,
raw_images\2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,strip_0026_2,0026,2,,
raw_images\2023-2-14_Wild Type_500uE 1 hour_3_020_19k.png,strip_0027_3,0027,3,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,strip_0028_1,0028,1,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,strip_0029_2,0029,2,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_1_014_19k.png,strip_0030_3,0030,3,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,strip_0031_1,0031,1,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,strip_0032_2,0032,2,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_1_033_19k.png,strip_0033_3,0033,3,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_2_013_19k.png,strip_0034_1,0034,1,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_2_013_19k.png,strip_0035_2,0035,2,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_2_013_19k.png,strip_0036_3,0036,3,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,strip_0037_1,0037,1,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,strip_0038_2,0038,2,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,strip_0039_3,0039,3,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,strip_0040_1,0040,1,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,strip_0041_2,0041,2,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_3_008_19k.png,strip_0042_3,0042,3,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,strip_0043_1,0043,1,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,strip_0044_2,0044,2,,
raw_images\2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,strip_0045_3,0045,3,,
