2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,212,1676,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,596,1664,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,872,1428,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,936,1140,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1196,1016,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1612,1376,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,480,808,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,656,620,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1012,576,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1204,868,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1864,344,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1888,804,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,920,1172,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,1728,1264,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,208,1848,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,176,1380,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,364,1580,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,536,1088,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,820,1168,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,660,1356,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1568,1180,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1296,560,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1884,672,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,328,1536,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,684,1900,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,356,1028,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,112,1136,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,260,540,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,1032,468,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,1348,296,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,1548,432,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,1756,1912,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,1216,1636,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,196,848,200
