strip,filename,box_size,x,y,strip_filename,rotation_angle,x1,y1,x2,y2
0,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,596,1664,strip_0.png,-38.99099404250548,733,-1518,733,-1518
1,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,872,1428,strip_1.png,-37.21152090290202,319,-1514,319,-1514
2,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,936,1140,strip_2.png,-30.46554491945988,-78,-1307,-78,-1307
3,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1196,1016,strip_3.png,-26.13100054493858,-476,-1288,-476,-1288
4,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1612,1376,strip_4.png,-30.749967302196406,-531,-1856,-531,-1856
5,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,480,808,strip_5.png,-51.97276928602646,490,-725,490,-725
6,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,656,620,strip_6.png,-46.39718102729638,146,-752,146,-752
7,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1012,576,strip_7.png,-43.95074405911993,-178,-967,-178,-967
8,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1204,868,strip_8.png,-38.8113840367584,-244,-1280,-244,-1280
9,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1864,344,strip_9.png,-41.04575228447891,-1029,-1333,-1029,-1333
10,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1888,804,strip_10.png,-34.796026278268315,-941,-1587,-941,-1587
11,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,920,1172,strip_11.png,-37.27817419986903,127,-1339,127,-1339
12,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1728,1264,strip_12.png,-25.182847480381024,-875,-1729,-875,-1729
13,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,208,1848,strip_13.png,-39.42780219603621,1163,-1409,1163,-1409
14,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,176,1380,strip_14.png,-7.431407971172507,153,-1241,153,-1241
15,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,364,1580,strip_15.png,-15.145706144430186,211,-1470,211,-1470
16,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,536,1088,strip_16.png,-11.061182461591796,-167,-1020,-167,-1020
17,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,820,1168,strip_17.png,-13.12040315297726,-383,-1173,-383,-1173
18,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,660,1356,strip_18.png,-17.35402463626132,-75,-1341,-75,-1341
