strip,filename,box_size,x,y
0,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1000,1100
1,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1728,1332
2,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,284,1524
3,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,520,772
4,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1024,608
5,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1284,808
6,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1040,1084
7,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,280,1600
8,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,880,1408
9,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,512,1732
10,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,540,708
11,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1312,812
12,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1860,828
13,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,152,1892
14,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,652,1080
15,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,1164,636
16,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,1584,1196
17,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,164,1368
18,./raw_images/2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,200,296,1528
19,./raw_images/2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,200,288,376
20,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,200,1520,572
21,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,200,132,868
22,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,200,1904,1876
23,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,200,956,412
24,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,200,1152,1768
25,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,200,1052,136
26,./raw_images/2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,200,1032,932
27,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1184,620
28,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1560,608
29,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,1280,1484
30,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,200,852,484
31,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,652,476
32,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1324,304
33,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,1092,144
34,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,600,1788
35,./raw_images/2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,200,92,1136
